,,,,,,,,,,,,,,,,,
15,16,17,18,19,20,21,,,13,14,15,16,17,18,19,,
209,149,179,179,179,179,149,,,169,169,169,169,169,169,169,,
22,23,24,25,26,27,28,,,20,21,22,23,24,25,26,,
149,149,149,179,179,209,209,,,169,169,169,169,169,169,169,,
29,30,,,,,,,,27,28,29,30,31,,,,
179,179,,,,,,,,169,169,169,199,169,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY  (10% off the final bill starting Nov 13th onwards) ,,,,,,,NOV,,CALGARY  (5% off the final bill starting Dec12 onwards) ,,,,,,,DEC,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,1,2,,,1,2,3,4,5,6,7,,
,,,,,149,169,,,149,199,149,139,159,149,159,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,
149,149,149,149,149,159,149,,,149,149,149,149,169,149,189,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,
149,149,169,169,169,149,189,,,149,149,139,139,139,169,139,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,
149,149,149,149,149,149,149,,,139,139,139,139,139,139,149,,
24,25,26,27,28,29,30,,,29,30,31,,,,29,,
149,149,149,149,189,189,169,,,139,189,159,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,
CALGARY  (5% off the final bill starting Dec12 onwards) ,,,,,,,JAN,,CALGARY  (5% off the final bill starting Dec12 onwards) ,,,,,,,FEB,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,149,199,149,149,,,,,,,,,169,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
149,149,149,149,149,169,149,,,149,149,149,149,149,149,149,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,,,
149,149,149,149,149,149,,,,149,149,149,149,149,149,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,MAR,,CALGARY,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,1,,,,,1,2,3,4,5,,
,,,,,,149,,,,,199,149,209,149,199,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,
169,189,159,159,159,159,159,,,169,209,149,149,149,149,159,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,
159,159,159,159,159,159,199,,,149,149,149,149,149,209,149,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,
199,159,159,159,159,159,159,,,149,149,199,149,209,149,209,,
23,24,25,26,27,28,29,,,27,28,29,30,,,,,
159,159,189,199,199,199,199,,,169,169,169,169,,,,,
30,31,,,,,,,,,,,,,,,,
159,199,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,MAY,,CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,1,2,3,,,1,2,3,4,5,6,7,,
,,,,199,159,199,,,219,179,169,169,139,139,149,,
4,5,6,7,8,9,10,,,8,9,10,11,12,13,14,,
149,149,149,149,149,149,149,,,149,139,169,149,149,149,169,,
11,12,13,14,15,16,17,,,15,16,17,18,19,20,21,,
149,149,149,149,149,149,159,,,149,169,149,169,169,169,169,,
18,19,20,21,22,23,24,,,22,23,24,25,26,27,28,,
149,149,149,149,149,149,149,,,199,169,169,169,149,169,199,,
25,26,27,28,29,30,31,,,29,30,,,,,,,
149,159,159,159,159,209,159,,,199,169,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,JUL,,CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,AUG,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,1,2,3,4,5,,,,,,,,1,2,,
,,149,169,149,149,149,,,,,,,,189,169,,
6,7,8,9,10,11,12,,,3,4,5,6,7,8,9,,
169,149,149,149,149,149,169,,,169,169,169,169,149,149,149,,
13,14,15,16,17,18,19,,,10,11,12,13,14,15,16,,
169,159,159,159,159,159,149,,,149,149,149,149,149,189,149,,
20,21,22,23,24,25,26,,,17,18,19,20,21,22,23,,
159,169,179,179,179,159,199,,,169,149,179,149,149,149,199,,
27,28,29,30,31,,,,,24,25,26,27,28,29,30,,
149,149,179,209,209,,,,,159,159,159,159,159,199,199,,
,,,,,,,,,31,,,,,,,,
,,,,,,,,,199,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,SEP,,CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,OCT,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,1,2,3,4,,
,169,159,159,159,149,149,,,,,,149,149,149,149,,
7,8,9,10,11,12,13,,,5,6,7,8,9,10,11,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
14,15,16,17,18,19,20,,,12,13,14,15,16,17,18,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
21,22,23,24,25,26,27,,,19,20,21,22,23,24,25,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
28,29,30,,,,,,,26,27,28,27,30,31,,,
149,149,149,,,,,,,149,149,149,149,149,149,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,NOV,,CALGARY,,1 HR MIN STARTING AT 179/HR ,,,,,DEC,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,1,,,,1,2,3,4,5,6,,
,,,,,,139,,,,139,139,139,139,139,139,,
2,3,4,5,6,7,8,,,7,8,9,10,11,12,13,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
9,10,11,12,13,14,15,,,14,15,16,17,18,19,20,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
16,17,18,19,20,21,22,,,21,22,23,24,25,26,27,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
23,24,25,26,27,28,29,,,28,29,30,31,,,,,
139,139,139,139,139,139,139,,,139,139,139,139,,,,,
30,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
