16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,,17,18,19,20,21,22,23,,
159,179/159,159,169,159,159,189/159,,,179,159,189/169,199/159,179/159,199/179,229/169,,,,149,149,149,149,149,149,149,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,,,24,25,26,27,28,29,30,,
159,159,189/159,199/169,179/159,199/169,199/169,,,189/159,199/169,189/159,189/169,209,,,,,,149,149,149,149,149,149,179,,
30,31,,,,,,,,,,,,,,,,,,,,,,,,,,
169/159,229/199,,,,,,,,,,,,,,,,,, ,,,,,,,,
,,,,,,,,,,,,r,,,,,,,,,,,,,,,
TORONTO,,,,,,,SEP,,TORONTO,,,,,,,OCT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,,,1,2,,,1,2,3,4,5,6,7,,,,,,,,,,,,
,,,,,249/209,229/189,,,169,149,149,149,149,149,149,,,,,,,,,,,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,,,,,,,,,,,
169,159,159,159,159,169,169,,,149,159,149,149,149,149,149,,,,,,,,,,,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,,,,,,,,,,,
159,159,159,159,159,159,169/159,,,149,149,149,149,149,149,149,,,,,,,,,,,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,,,,,,,,,,,
149,149,149,139,139,149,159,,,139,139,139,139,139,149,149,,,,,,,,,,,,
24,25,26,27,28,29,30,,,29,30,31,,,,,,,,,,,,,,,,
139,139,129,149,149,189/169,179,,,149,149,159,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,NOV,,TORONTO,,,,,,,DEC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,1,2,3,4,,,,,,,,1,2,,,,,,,,,,,,
,,,159,149,139,149,,,,,,,,199,199,,,,,,,,,,,,
5,6,7,8,9,10,11,,,3,4,5,6,7,8,9,,,,,,,,,,,,
149,149,149,149,149,139,139,,,159,149,139,139,139,139,159,,,,,,,,,,,,
12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,,,,,,,,,,,,
119,139,129,139,139,139,139,,,139,139,139,149,149,149,149,,,,,,,,,,,,
19,20,21,22,23,24,25,,,17,18,19,20,21,22,23,,,,,,,,,,,,
119,139,119,119,139,129,139,,,139,139,139,139,139,139,139,,,,,,,,,,,,
26,27,28,29,30,,,,,24,25,26,27,28,29,30,,,,,,,,,,,,
129,139,139,139,159,,,,,139,139,139,139,139,119,119,,,,,,,,,,,,
,,,,,,,,,31,,,,,,,,,,,,,,,,,,
,,,,,,,,,119,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Truck,  2   >   3   >   4,,2 Trucks,  4   >   5   >   6,,,,IMPORTANT NOTES,,,,,,,,,,,,,,,,,,
,,119 > 179 > 259,,,238 > 298 > 358,,,,,,,,,,,,,,,,,,,,,,
,,129 > 189 > 269,,,258 > 318 > 378,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ONLY 3 MAN TRUCKS HAVE LIFTGATES,,,,,,,,,,,,,,,,,,
,,139 > 199 > 279,,,278 > 338 > 398,,,,,,,,,,,,,,,,,,,,,,
,,149 > 209 > 289,,,298 > 358 > 418,,,,,,,,,,,,,,,,,,,,,,
,,159 > 219 > 299,,,318 > 378 > 438,,,,,,,,,,,,,,,,,,,,,,
,,169 > 229 > 309,,,338 > 398 > 458,,,,,,,,,,,,,,,,,,,,,,
,,179 > 239 > 319,,,358 > 418 > 478,,,,MIN PRICE: $109 ON REGULAR DAYS,,,,,,,,,,,,,,,,,,
,,189 > 249 > 329,,,378 > 438 > 498,,,,,,,,,,,,,,,,,,,,,,
,,199 > 259 > 339,,,398 > 458 > 518,,,,,,,,,,,,,,,,,,,,,,
,,209 > 269 > 349,,,418 > 478 > 538,,,,,,,,,,,,,,,,,,,,,,
,,219 > 279 > 359,,,438 > 498 > 558,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024 CALENDAR ACTIVE AS OF DEC 8TH,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,JAN,,TORONTO,,,,,,,FEB,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,,,,,,,,,
,139,139,139,139,139,139,,,,,,,139,119,149,,,,,,,,,,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,,,,,,,,,
129,119,119,119,119,119,119,,,129,119,119,119,119,119,119,,,,,,,,,,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,,,,,,,,,
119,129,119,129,129,119,129,,,119,129,129,129,129,129,129,,,,,,,,,,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,,,,,,,,,
129,119,119,129,129,149,149,,,129,129,129,129,129,129,129,,,,,,,,,,,,
28,29,30,31,,,,,,25,26,27,28,29,,,,,,,,,,,,,,
129,139,139,139,,,,,,129,129,129,129,129,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,MAR,,TORONTO,,,,,,,APR,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,,,1,2,,,,1,2,3,4,5,6,,,,,,,,,,,,
"ALL PRICING INCREASED TO 159 AND 169 ON 30,31 AND 1ST UP TO SEPT",,,,,169,159,,,,169,159,159,159,159,159,,,,,,,,,,,,
3,4,5,6,7,8,9,,,7,8,9,10,11,12,13,,,,,,,,,,,,
159,159,159,159,159,159,159,,,159,159,159,159,159,159,159,,,,,,,,,,,,
10,11,12,13,14,15,16,,,14,15,16,17,18,19,20,,,,,,,,,,,,
159,159,159,159,159,159,159,,,159,159,159,159,159,159,159,,,,,,,,,,,,
17,18,19,20,21,22,23,,,21,22,23,24,25,26,27,,,,,,,,,,,,
159,159,159,159,159,159,159,,,159,159,159,159,159,159,159,,,,,,,,,,,,
24,25,26,27,28,29,30,,,28,29,30,,,,,,,,,,,,,,,,
159,159,159,159,159,159,169,,,159,159,169,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,MAY,,TORONTO,,,,,,,JUN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,1,2,3,4,,,,,,,,,1,,,,,,,,,,,,
,,,169,159,159,159,,,,,,,,,179,,,,,,,,,,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,,,,,,,,,
159,159,159,159,159,159,159,,,169,169,169,169,169,169,169,,,,,,,,,,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,,,,,,,,,
159,159,159,159,159,159,159,,,169,169,169,169,169,169,169,,,,,,,,,,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,,,,,,,,,,
159,159,159,159,159,159,159,,,169,169,169,169,169,169,169,,,,,,,,,,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,,,,,,,,,,
159,159,159,159,169,169,,,,169,169,169,169,169,169,169,,,,,,,,,,,,
,,,,,,,,,30,,,,,,,,,,,,,,,,,,
,,,,,,,,,179,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,JUL,,TORONTO,,,,,,,AUG,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,,,,,,,,,
,189,189,169,169,199,169,,,,,,,179,169,169,,,,,,,,,,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,,,,,,,,,
169,169,169,169,169,169,169,,,169,169,169,169,169,169,209,,,,,,,,,,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,,,,,,,,,
169,189,169,169,169,169,169,,,169,169,189,169,169,199,169,,,,,,,,,,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,,,,,,,,,
169,169,169,169,169,199,199,,,169,169,169,169,169,169,169,,,,,,,,,,,,
28,29,30,31,,,,,,25,26,27,28,29,30,31,,,,,,,,,,,,
169,169,179,209,,,,,,169,169,169,189,239,239,259,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,SEP,,TORONTO,,,,,,,OCT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,1,2,3,4,5,,,,,,,,,,,,
229,169,169,189,169,169,189,,,,,179,169,169,169,159,,,,,,,,,,,,
8,9,10,11,12,13,14,,,6,7,8,9,10,11,12,,,,,,,,,,,,
169,169,189,169,169,169,169,,,159,149,149,149,149,149,189,,,,,,,,,,,,
15,16,17,18,19,20,21,,,13,14,15,16,17,18,19,,,,,,,,,,,,
199,169,169,179,179,169,179,,,149,149,149,149,149,149,149,,,,,,,,,,,,
22,23,24,25,26,27,28,,,20,21,22,23,24,25,26,,,,,,,,,,,,
169,169,169,179,179,209,249,,,149,149,149,149,149,209,229,,,,,,,,,,,,
29,30,,,,,,,,27,28,29,30,31,,,,,,,,,,,,,,
179,179,,,,,,,,149,149,189,199/169,179/159,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,NOV,,TORONTO,,,,,,,DEC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,,,1,2,,,1,2,3,4,5,6,7,,,,,,,,,,,,
,,,,,199,229,,,179,159,149,149,149,149,159,,,,,,,,,,,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,,,,,,,,,,,
149,149,149,149,149,149,179,,,149,149,149,149,149,149,149,,,,,,,,,,,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,,,,,,,,,,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,,,,,,,,,,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,,,,,,,,,,,
149,149,149,149,149,149,179,,,149,149,149,149,149,149,149,,,,,,,,,,,,
24,25,26,27,28,29,30,,,29,30,31,,,,29,,,,,,,,,,,,
149,149,149,179,169,169,209,,,149,179,179,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,JAN,,TORONTO,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,FEB,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,1,2,3,4,,,,,,,,,1,,,,,,,,,,,,
,,,169,139,139,139,,,,,,,,,199,,,,,,,,,,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,,,,,,,,,
139,139,139,139,139,139,139,,,199,189,169,139,139,139,149,,,,,,,,,,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,,,,,,,,,
139,139,139,139,139,139,159,,,139,139,139,139,139,139,149,,,,,,,,,,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,,,,,,,,,,
139,139,149,149,149,149,159,,,139,149,149,149,149,149,159,,,,,,,,,,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,,,,,,,,,,,,,
139,159,159,159,169,199,,,,139,149,149,149,199,199,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,MAR,,TORONTO,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,APR,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,,,,1,,,,,1,2,3,4,5,,,,,,,,,,,,
,,,,,,159,,,,,199,159,149,199,159,,,,,,,,,,,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,,,,,,,,,,
149,149,149,149,149,149,159,,,149,149,149,149,149,189,179,,,,,,,,,,,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,,,,,,,,,,
149,149,149,149,149,189,189,,,149,159,159,159,159,159,169,,,,,,,,,,,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,,,,,,,,,,
149,149,149,149,149,149,159,,,159,159,159,159,159,199,199,,,,,,,,,,,,
23,24,25,26,27,28,29,,,27,28,29,30,,,,,,,,,,,,,,,
149,149,149,149,159,159,199,,,169,169,169,199,,,,,,,,,,,,,,,
30,31,,,,,,,,,,,,,,,,,,,,,,,,,,
169,199,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,MAY,,TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,JUN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,,1,2,3,,,1,2,3,4,5,6,7,,,,,,,,,,,,
,,,,209,169,179,,,189,169,169,159,189,189,199,,,,,,,,,,,,
4,5,6,7,8,9,10,,,8,9,10,11,12,13,159,,,,,,,,,,,,
159,159,159,159,159,159,169,,,159,159,159,159,159,159,169,,,,,,,,,,,,
11,12,13,14,15,16,17,,,15,16,17,18,19,20,21,,,,,,,,,,,,
159,159,159,159,159,159,169,,,159,159,159,159,159,159,169,,,,,,,,,,,,
18,19,20,21,22,23,24,,,22,23,24,25,26,27,28,,,,,,,,,,,,
159,159,159,159,159,159,169,,,159,159,159,199,209,229,209,,,,,,,,,,,,
25,26,27,28,29,30,31,,,29,30,,,,,,,,,,,,,,,,,
159,159,169,169,169,229,229,,,209,209,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,JUL,,TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,AUG,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,1,2,3,4,5,,,,,,,,1,2,,,,,,,,,,,,
,,179,169,169,229,179,,,,,,,,239,229,,,,,,,,,,,,
6,7,8,9,10,11,12,,,3,4,5,6,7,8,9,,,,,,,,,,,,
169,199,169,169,169,229,179,,,199,229,179,179,179,179,199,,,,,,,,,,,,
13,14,15,16,17,18,19,,,10,11,12,13,14,15,16,,,,,,,,,,,,
169,199,229,169,169,169,209,,,179,179,179,179,179,199,189,,,,,,,,,,,,
20,21,22,23,24,25,26,,,17,18,19,20,21,22,23,,,,,,,,,,,,
169,169,169,169,209,209,209,,,179,199,179,179,179,199,189,,,,,,,,,,,,
27,28,29,30,31,,,,,24,25,26,27,28,29,30,,,,,,,,,,,,
209,209,209,209,239,,,,,179,179,179,179,179,179,189,,,,,,,,,,,,
,,,,,,,,,31,,,,,,,,,,,,,,,,,,
,,,,,,,,,179,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,SEP,,TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,OCT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,1,2,3,4,5,6,,,,,,1,2,3,4,,,,,,,,,,,,
,179,179,179,179,179,189,,,,,,179,179,179,189,,,,,,,,,,,,
7,8,9,10,11,12,13,,,5,6,7,8,9,10,11,,,,,,,,,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,,,,,,,,,
14,15,16,17,18,19,20,,,12,13,14,15,16,17,18,,,,,,,,,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,,,,,,,,,
21,22,23,24,25,26,27,,,19,20,21,22,23,24,25,,,,,,,,,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,,,,,,,,,
28,29,30,,,,,,,26,27,28,27,30,31,,,,,,,,,,,,,
179,179,189,,,,,,,179,179,179,179,189,189,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,NOV,,TORONTO,,1 HR MIN STARTING AT 179/HR ,,,,,DEC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,,,,1,,,,1,2,3,4,5,6,,,,,,,,,,,,
,,,,,,189,,,,179,179,179,179,179,189,,,,,,,,,,,,
2,3,4,5,6,7,8,,,7,8,9,10,11,12,13,,,,,,,,,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,,,,,,,,,
9,10,11,12,13,14,15,,,14,15,16,17,18,19,20,,,,,,,,,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,,,,,,,,,
16,17,18,19,20,21,22,,,21,22,23,24,25,26,27,,,,,,,,,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,,,,,,,,,
23,24,25,26,27,28,29,,,28,29,30,31,,,,,,,,,,,,,,,
179,179,179,179,179,179,189,,,179,179,179,179,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,
