,,,,,,,,,,,,,,,,,,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,,
179,159,219/169,159,159,169,159,,,199,209/179,209/179,209/179,209/169,209/179,209/179,,,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,,,
169,159,169,189/159,209/169,209/169,199/169,,,199/179,189/169,189/169,199/189,209/189,,,,,,
30,31,,,,,,,,,,,,,,,,,,
219/179,219/179,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,SEP,,HAMILTON,,,,,,,OCT,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,,,1,2,,,1,2,3,4,5,6,7,,,,
,,,,,209/189,199,,,179,159,159,159,159,159,159,,,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,,,
219/189,159,169,159,159,169,159,,,159,159,159,159,159,159,159,,,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,,,
159,159,169,169,159,199/159,169,,,159,159,159,159,159,159,149,,,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,,,
159,169,159,159,149,169,199/169,,,139,139,149,149,139,149,149,,,,
24,25,26,27,28,29,30,,,29,30,31,,,,,,,,
159,189/169,159,159,169,179,179,,,139,149,159,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,NOV,,HAMILTON,,,,,,,DEC,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,1,2,3,4,,,,,,,,1,2,,,,
,,,199/179,199/169,139,199/189,,,,,,,,199,199,,,,
5,6,7,8,9,10,11,,,3,4,5,6,7,8,9,,,,
139,139,139,149,139,139,159,,,139,139,149,179,139,149,149,,,,
12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,,,,
139,139,149,149,149,139,149,,,139,139,149,139,149,159,159,,,,
19,20,21,22,23,24,25,,,17,18,19,20,21,22,23,,,,
139,139,139,139,139,139,139,,,139,139,139,149,149,149,159,,,,
26,27,28,29,30,,,,,24,25,26,27,28,29,30,,,,
139,139,139,139,149,,,,,139,139,139,149,159,159,139,,,,
,,,,,,,,,31,,,,,,,,,,
,,,,,,,,,149,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1 Truck,  2   >   3   >   4,,2 Trucks,  4   >   5   >   6,,,,IMPORTANT NOTES,,,,,,,,,,
,,119 > 179 > 259,,,238 > 298 > 358,,,,,,,,,,,,,,
,,129 > 189 > 269,,,258 > 318 > 378,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ,,,,,,,,,,
,,139 > 199 > 279,,,278 > 338 > 398,,,,,,,,,,,,,,
,,149 > 209 > 289,,,298 > 358 > 418,,,,,,,,,,,,,,
,,159 > 219 > 299,,,318 > 378 > 438,,,,,,,,,,,,,,
,,169 > 229 > 309,,,338 > 398 > 458,,,,,,,,,,,,,,
,,179 > 239 > 319,,,358 > 418 > 478,,,,MIN PRICE: $129 ON REGULAR DAYS,,,,,,,,,,
,,189 > 249 > 329,,,378 > 438 > 498,,,,,,,,,,,,,,
,,199 > 259 > 339,,,398 > 458 > 518,,,,,,,,,,,,,,
,,209 > 269 > 349,,,418 > 478 > 538,,,,,,,,,,,,,,
,,219 > 279 > 359,,,438 > 498 > 558,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024 CALENDAR ACTIVE AS OF DEC 8TH,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,JAN,,HAMILTON,,,,,,,FEB,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,
,139,129,139,129,139,129,,,,,,,159,139,129,,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,
129,129,129,129,129,129,129,,,129,129,129,129,129,129,129,,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,
129,139,159,129,129,129,139,,,129,129,129,129,129,129,129,,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,
129,139,129,129,139,129,129,,,129,129,129,129,129,129,149,,,,
28,29,30,31,,,,,,25,26,27,28,29,,,,,,
129,139,129,149,,,,,,129,129,129,129,129,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,MAR,,HAMILTON,,,,,,,APR,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,,,1,2,,,,1,2,3,4,5,6,,,,
"ALL PRICING INCREASED TO 159 AND 169 ON 30,31 AND 1ST UP TO SEPT",,,,,139,139,,,,169,159,159,159,159,159,,,,
3,4,5,6,7,8,9,,,7,8,9,10,11,12,13,,,,
139,139,139,139,139,139,139,,,159,159,159,159,159,159,159,,,,
10,11,12,13,14,15,16,,,14,15,16,17,18,19,20,,,,
139,159,159,159,159,159,159,,,159,159,159,159,159,159,159,,,,
17,18,19,20,21,22,23,,,21,22,23,24,25,26,27,,,,
159,159,159,159,159,159,159,,,159,159,159,159,159,159,159,,,,
24,25,26,27,28,29,30,,,28,29,30,,,,,,,,
159,159,159,159,159,159,169,,,159,159,169,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,MAY,,HAMILTON,,,,,,,JUN,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,1,2,3,4,,,,,,,,,1,,,,
,,,169,159,159,159,,,,,,,,,179,,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,
159,159,159,159,159,159,159,,,169,169,169,169,169,169,169,,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,
159,159,159,159,159,159,159,,,169,169,169,169,169,169,169,,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,,
159,159,159,159,159,159,159,,,169,169,169,169,169,169,169,,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,,
159,159,159,159,169,169,,,,169,169,169,169,169,169,169,,,,
,,,,,,,,,30,,,,,,,,,,
,,,,,,,,,179,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,JUL,,HAMILTON,,,,,,,AUG,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,
,189,169,169,169,189,189,,,,,,,229,209,209,,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,
189,159,159,159,159,189,189,,,169,169,189,169,179,169,209,,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,
159,169,159,169,169,169,169,,,169,199,169,169,199,199,169,,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,
169,169,189,189,199,189,199,,,169,169,209,169,189,169,209,,,,
28,29,30,31,,,,,,25,26,27,28,29,30,31,,,,
159,189,189,229,,,,,,209,209,209,169,229,229,239,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,SEP,,HAMILTON,,,,,,,OCT,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
1,2,3,4,5,6,7,,,,,1,2,3,4,5,,,,
259,199,169,169,169,169,169,,,,,199,199,169,209,209,,,,
8,9,10,11,12,13,14,,,6,7,8,9,10,11,12,,,,
169,169,169,199,199,249,169,,,169,169,169,169,169,189,189,,,,
15,16,17,18,19,20,21,,,13,14,15,16,17,18,19,,,,
199,169,169,199,169,169,199,,,169,169,189,199,169,169,169,,,,
22,23,24,25,26,27,28,,,20,21,22,23,24,25,26,,,,
169,199,199,199,169,249/179,199,,,169,169,169,189,209,209,209,,,,
29,30,,,,,,,,27,28,29,30,31,,,,,,
199,249,,,,,,,,189,209,209,209,209,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,NOV,,HAMILTON,,,,,,,DEC,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,,,1,2,,,1,2,3,4,5,6,7,,,,
,,,,,229,169,,,199,179,149,149,149,149,169,,,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,,,
169,199,159,199,159,159,159,,,149,149,149,149,149,149,169,,,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,,,
159,159,159,159,159,199,169,,,149,149,149,179,149,149,149,,,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,,,
159,159,159,169,159,159,189,,,149,159,149,149,149,149,149,,,,
24,25,26,27,28,29,30,,,29,30,31,,,,29,,,,
159,159,189,169,169,209,209,,,149,159,159,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,
HAMILTON,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,JAN,,HAMILTON,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,FEB,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,1,2,3,4,,,,,,,,,1,,,,
,,,169,139,139,159,,,,,,,,,199,,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,
139,139,139,139,139,139,139,,,159,149,139,139,139,139,159,,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,
139,139,139,149,139,139,139,,,149,139,139,139,139,139,159,,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,,
139,139,139,149,149,149,159,,,149,139,139,139,139,139,159,,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,,,,,
139,159,159,159,169,199,,,,149,139,149,149,179,179,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,MAR,,HAMILTON,,1 HR MIN STARTING AT 179/HR NO DISCOUNTS,,,,,APR,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,,,,1,,,,,1,2,3,4,5,,,,
,,,,,,179,,,,,189,159,159,149,159,,,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,,
169,169,139,139,139,189,159,,,149,149,149,149,149,149,199,,,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,,
139,139,139,139,169,169,189,,,149,159,199,159,159,159,169,,,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,,
189,169,149,179,149,189,189,,,159,159,159,159,159,179,179,,,,
23,24,25,26,27,28,29,,,27,28,29,30,,,,,,,
149,149,149,149,189,189,209,,,179,159,199,199,,,,,,,
30,31,,,,,,,,,,,,,,,,,,
189,179,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,MAY,,HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,JUN,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,,1,2,3,,,1,2,3,4,5,6,7,,,,
,,,,199,169,179,,,209,209,169,159,159,159,169,,,,
4,5,6,7,8,9,10,,,8,9,10,11,12,13,14,,,,
169,159,159,179,159,159,169,,,159,159,179,179,159,159,169,,,,
11,12,13,14,15,16,17,,,15,16,17,18,19,20,21,,,,
159,159,159,159,189,159,169,,,159,159,199,159,159,159,169,,,,
18,19,20,21,22,23,24,,,22,23,24,25,26,27,28,,,,
159,159,189,159,159,159,169,,,159,159,159,229,229,209,179,,,,
25,26,27,28,29,30,31,,,29,30,,,,,,,,,
159,159,169,169,229,229,229,,,169,209,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,JUL,,HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,AUG,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,1,2,3,4,5,,,,,,,,1,2,,,,
,,209,209,209,189,209,,,,,,,,269,189,,,,
6,7,8,9,10,11,12,,,3,4,5,6,7,8,9,,,,
159,199,199,199,199,199,169,,,189,179,179,179,179,179,189,,,,
13,14,15,16,17,18,19,,,10,11,12,13,14,15,16,,,,
169,169,169,169,199,169,179,,,179,179,179,179,199,229,189,,,,
20,21,22,23,24,25,26,,,17,18,19,20,21,22,23,,,,
169,199,199,169,209,169,179,,,179,179,179,179,209,179,189,,,,
27,28,29,30,31,,,,,24,25,26,27,28,29,30,,,,
169,209,209,239,269,,,,,179,179,179,179,179,179,199,,,,
,,,,,,,,,31,,,,,,,,,,
,,,,,,,,,179,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,SEP,,HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,OCT,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,1,2,3,4,5,6,,,,,,1,2,3,4,,,,
,179,179,179,179,179,189,,,,,,179,179,179,189,,,,
7,8,9,10,11,12,13,,,5,6,7,8,9,10,11,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,
14,15,16,17,18,19,20,,,12,13,14,15,16,17,18,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,
21,22,23,24,25,26,27,,,19,20,21,22,23,24,25,,,,
179,179,179,179,179,179,189,,,179,179,179,179,179,179,189,,,,
28,29,30,,,,,,,26,27,28,27,30,31,,,,,
179,179,179,,,,,,,179,179,179,179,179,179,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,NOV,,HAMILTON,,1 HR MIN STARTING AT 179/HR ,,,,,DEC,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,,,,1,,,,1,2,3,4,5,6,,,,
,,,,,,179,,,,179,179,179,179,179,189,,,,
2,3,4,5,6,7,8,,,7,8,9,10,11,12,13,,,,
169,169,169,169,169,169,179,,,179,179,179,179,179,179,189,,,,
9,10,11,12,13,14,15,,,14,15,16,17,18,19,20,,,,
169,169,169,169,169,169,179,,,179,179,179,179,179,179,189,,,,
16,17,18,19,20,21,22,,,21,22,23,24,25,26,27,,,,
169,169,169,169,169,169,179,,,179,179,179,179,179,179,189,,,,
23,24,25,26,27,28,29,,,28,29,30,31,,,,,,,
169,169,169,169,169,169,179,,,179,179,179,179,,,,,,,
30,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,
